(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)\
(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(95, 95, 95)(95, 95, 95)(95, 95, 95)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)\
(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)\
(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(95, 95, 95)(95, 95, 95)(95, 95, 95)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)\
(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(95, 95, 95)(95, 95, 95)(95, 95, 95)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)\
(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)\
(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(95, 95, 95)(95, 95, 95)(95, 95, 95)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)\
(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(95, 95, 95)(95, 95, 95)(95, 95, 95)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)\
(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)\
(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(0, 127, 255)(0, 127, 255)(95, 95, 95)(0, 127, 255)(0, 127, 255)(95, 95, 95)(0, 127, 255)(0, 127, 255)(95, 95, 95)(0, 127, 255)(0, 127, 255)(95, 95, 95)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(140, 0, 140)(140, 0, 140)(140, 0, 140)(140, 0, 140)(140, 0, 140)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)\
(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(95, 95, 95)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 255)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(140, 0, 140)(140, 0, 140)(140, 0, 140)(140, 0, 140)(140, 0, 140)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)(0, 127, 0)\
